node_id_origin,node_id_destination,relation_type
consumptionNode_1,consumptionNode_5,distributionRelation
consumptionNode_1,consumptionNode_6,distributionRelation
consumptionNode_2,consumptionNode_10,distributionRelation
consumptionNode_2,consumptionNode_13,distributionRelation
consumptionNode_3,consumptionNode_4,distributionRelation
consumptionNode_3,consumptionNode_11,distributionRelation
consumptionNode_4,consumptionNode_11,distributionRelation
consumptionNode_4,consumptionNode_8,distributionRelation
consumptionNode_4,consumptionNode_9,distributionRelation
consumptionNode_5,consumptionNode_7,distributionRelation
consumptionNode_7,consumptionNode_6,distributionRelation
consumptionNode_7,consumptionNode_14,distributionRelation
consumptionNode_7,consumptionNode_17,distributionRelation
consumptionNode_8,consumptionNode_20,distributionRelation
consumptionNode_9,consumptionNode_16,distributionRelation
consumptionNode_10,consumptionNode_1,distributionRelation
consumptionNode_10,consumptionNode_12,distributionRelation
consumptionNode_12,consumptionNode_21,distributionRelation
consumptionNode_13,consumptionNode_21,distributionRelation
consumptionNode_15,consumptionNode_22,distributionRelation
consumptionNode_18,consumptionNode_15,distributionRelation
consumptionNode_19,consumptionNode_23,distributionRelation
consumptionNode_20,consumptionNode_12,distributionRelation
consumptionNode_20,consumptionNode_5,distributionRelation
consumptionNode_22,consumptionNode_19,distributionRelation
consumptionNode_23,consumptionNode_19,distributionRelation
consumptionNode_23,consumptionNode_8,distributionRelation
productionNode_1,consumptionNode_18,productionRelation
productionNode_1,consumptionNode_1,productionRelation
productionNode_1,consumptionNode_2,productionRelation
productionNode_1,consumptionNode_3,productionRelation
