node_id,node_type,max_value
consumptionNode_1,consumptionNode,86
consumptionNode_2,consumptionNode,84
consumptionNode_3,consumptionNode,69
consumptionNode_4,consumptionNode,84
consumptionNode_5,consumptionNode,90
consumptionNode_6,consumptionNode,70
consumptionNode_7,consumptionNode,92
consumptionNode_8,consumptionNode,68
consumptionNode_9,consumptionNode,76
consumptionNode_10,consumptionNode,86
consumptionNode_11,consumptionNode,72
consumptionNode_12,consumptionNode,74
consumptionNode_13,consumptionNode,82
consumptionNode_14,consumptionNode,81
consumptionNode_15,consumptionNode,64
consumptionNode_16,consumptionNode,64
consumptionNode_17,consumptionNode,94
consumptionNode_18,consumptionNode,98
consumptionNode_19,consumptionNode,86
consumptionNode_20,consumptionNode,60
consumptionNode_21,consumptionNode,84
consumptionNode_22,consumptionNode,86
consumptionNode_23,consumptionNode,94
consumptionNode_24,consumptionNode,99
consumptionNode_25,consumptionNode,75
consumptionNode_26,consumptionNode,62
consumptionNode_27,consumptionNode,83
consumptionNode_28,consumptionNode,65
consumptionNode_29,consumptionNode,78
consumptionNode_30,consumptionNode,61
consumptionNode_31,consumptionNode,75
consumptionNode_32,consumptionNode,68
consumptionNode_33,consumptionNode,91
consumptionNode_34,consumptionNode,81
productionNode_1,productionNode,1125
productionNode_2,productionNode,1469
