node_id_origin,node_id_destination,relation_type
consumptionNode_1,consumptionNode_12,distributionRelation
consumptionNode_2,consumptionNode_31,distributionRelation
consumptionNode_2,consumptionNode_4,distributionRelation
consumptionNode_2,consumptionNode_16,distributionRelation
consumptionNode_3,consumptionNode_1,distributionRelation
consumptionNode_3,consumptionNode_11,distributionRelation
consumptionNode_3,consumptionNode_9,distributionRelation
consumptionNode_3,consumptionNode_13,distributionRelation
consumptionNode_3,consumptionNode_14,distributionRelation
consumptionNode_4,consumptionNode_5,distributionRelation
consumptionNode_5,consumptionNode_6,distributionRelation
consumptionNode_5,consumptionNode_7,distributionRelation
consumptionNode_5,consumptionNode_8,distributionRelation
consumptionNode_5,consumptionNode_20,distributionRelation
consumptionNode_5,consumptionNode_24,distributionRelation
consumptionNode_5,consumptionNode_30,distributionRelation
consumptionNode_7,consumptionNode_6,distributionRelation
consumptionNode_8,consumptionNode_17,distributionRelation
consumptionNode_9,consumptionNode_8,distributionRelation
consumptionNode_11,consumptionNode_10,distributionRelation
consumptionNode_12,consumptionNode_19,distributionRelation
consumptionNode_13,consumptionNode_15,distributionRelation
consumptionNode_14,consumptionNode_13,distributionRelation
consumptionNode_14,consumptionNode_21,distributionRelation
consumptionNode_16,consumptionNode_25,distributionRelation
consumptionNode_17,consumptionNode_18,distributionRelation
consumptionNode_20,consumptionNode_4,distributionRelation
consumptionNode_20,consumptionNode_27,distributionRelation
consumptionNode_20,consumptionNode_26,distributionRelation
consumptionNode_21,consumptionNode_18,distributionRelation
consumptionNode_23,consumptionNode_27,distributionRelation
consumptionNode_24,consumptionNode_34,distributionRelation
consumptionNode_26,consumptionNode_5,distributionRelation
consumptionNode_28,consumptionNode_23,distributionRelation
consumptionNode_29,consumptionNode_2,distributionRelation
consumptionNode_32,consumptionNode_22,distributionRelation
consumptionNode_33,consumptionNode_32,distributionRelation
consumptionNode_34,consumptionNode_29,distributionRelation
productionNode_1,consumptionNode_28,productionRelation
productionNode_1,consumptionNode_1,productionRelation
productionNode_1,consumptionNode_2,productionRelation
productionNode_2,consumptionNode_33,productionRelation
productionNode_2,consumptionNode_2,productionRelation
productionNode_2,consumptionNode_3,productionRelation
productionNode_2,consumptionNode_1,productionRelation
